name,price,sku,link
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨580.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=10821
,"₨4,390.00",,https://ziaulquran.com/shop/page/20/?add-to-cart=9162
,₨30.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9303
,₨42.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9304
,₨200.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=10822
,₨325.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=10824
,₨40.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=10826
,"₨1,095.00",,https://ziaulquran.com/shop/page/20/?add-to-cart=10828
,₨95.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=11150
,₨340.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=10830
,₨380.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=10833
,₨160.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9290
,₨240.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9291
,₨260.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9295
,₨60.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9297
,₨65.00,,https://ziaulquran.com/shop/page/20/?add-to-cart=9298
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨100.00,,https://ziaulquran.com/shop/page/21/?add-to-cart=9300
,₨500.00,,https://ziaulquran.com/shop/page/21/?add-to-cart=9302
